filename,duration,rms_mean,rms_std,rms_max,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,mel_spectrogram_mean,mel_spectrogram_std,VideoNumber
46+Enfamil’s New Campaign Challenges Other Formula Makers to #RaiseTheDHA.mp3,30.09,0.06148722,0.038231067,0.16473685,0.0464577380521797,0.0574100041009173,2090.979651100384,1458.5077554660363,2584.539755093506,841.9676912109528,254.8935844835876,462.7375619982941,-291.18927,70.56574,157.70683,37.440994,-12.708613,20.466137,27.61298,22.808483,3.0524104,23.443789,21.9333,17.218103,-10.743636,15.135672,6.454542,11.434902,-6.2619634,10.549227,-8.5319805,10.972644,-1.1853958,8.868339,-6.0558505,10.776396,-5.1975207,9.84866,0.36065933,0.30914634,0.33088055,0.2990971,0.3975796,0.3357528,0.41250294,0.31393868,0.45233423,0.3550176,0.36489624,0.29344708,0.3672478,0.29936123,0.4120825,0.32253987,0.31831068,0.2748605,0.2954598,0.3161455,0.3044075,0.2671281,0.40377063,0.3349454,0.9985889,9.3611145,46
47+Enspire™ Moments by Enfamil®.mp3,30.09,0.06280199,0.040113404,0.18739276,0.0407950318889853,0.0439342259490361,1529.1563428712757,1220.6557877192677,2062.3967521662653,870.1702127399492,131.670742392663,241.6072647549905,-358.23834,83.051315,161.34991,40.706757,30.850418,36.652843,16.901907,34.93848,-11.668074,21.497263,-3.2813456,18.082115,-18.556364,16.819218,-4.2541513,13.172323,-1.9654356,13.170811,4.6443152,13.492408,8.760548,11.65973,4.465951,10.686379,2.6771357,8.735786,0.33409506,0.33587673,0.23016044,0.21804959,0.32613808,0.31310645,0.2340813,0.22320287,0.29730815,0.3555921,0.22740376,0.21787293,0.3976754,0.34413478,0.3887132,0.32505336,0.21338166,0.2169946,0.2130594,0.28597704,0.22421077,0.21149658,0.4596949,0.3617324,1.0646819,9.350374,47
48+Fuel baby's development.mp3,30.09,0.08511265,0.03660981,0.17629518,0.0443222611038773,0.0505956391696459,2243.6512936872214,1582.820580632064,2755.535765724968,1098.1748819755946,169.229301531193,300.1050426668434,-279.3114,103.912445,137.8343,34.881805,4.782341,36.144943,45.132362,24.334665,-3.5811799,24.133068,25.985268,19.182602,-8.492371,15.637388,12.892566,14.706445,-5.5306344,11.833706,-5.750853,13.319606,-5.6195097,12.405823,-6.9041333,11.89622,-12.574888,8.782266,0.40659586,0.31406295,0.35355476,0.29816437,0.3699913,0.3601793,0.29773355,0.30480218,0.22713089,0.2779549,0.21752925,0.27542436,0.25435635,0.26805764,0.3327166,0.34334266,0.3137827,0.30923352,0.30412298,0.31213692,0.3560611,0.26633036,0.5380973,0.3601036,1.621358,11.619841,48
49+GERBER  Infant Formula commercial- Genius.mp3,32.42,0.09876713,0.07337655,0.3048839,0.0474802379833512,0.0488153304215361,1611.498186016574,1162.2919602757006,1488.4881894370612,758.2287770569135,321.78707025584754,583.9965083575111,-282.09592,107.96313,153.66585,56.529465,-30.034595,40.88571,20.143328,32.467735,7.072495,20.012333,-6.565027,14.547719,0.72204036,13.129471,-11.206648,17.31617,-2.3708017,14.124669,-9.262084,11.978622,-7.7852345,11.9455385,-6.215199,11.472787,-13.3127,10.8691845,0.4074301,0.37321708,0.32522765,0.29561052,0.26034954,0.30054787,0.2078926,0.24434984,0.26313758,0.30243427,0.2539186,0.29956168,0.21092667,0.24405956,0.29863146,0.34284997,0.28615096,0.26335627,0.37152866,0.37365523,0.29945794,0.29250133,0.29122216,0.2840472,2.750805,26.94636,49
5+All in One Day.mp3,31.3,0.067961,0.03335741,0.15246361,0.067112772684069,0.0839357511961008,2783.795922397312,2135.898059890809,2907.883609942526,1068.8430518995042,231.53574356427129,424.9137452473568,-296.38074,96.905685,128.8437,57.028996,-5.607332,45.774525,40.385277,31.739046,-0.89790106,27.611095,24.83139,25.63059,-17.920414,21.399841,19.939165,16.691843,-6.818532,15.101083,1.3913493,13.84573,2.5803838,16.566769,-6.035787,12.163419,-6.744558,9.904676,0.4324558,0.35364997,0.37619618,0.2995938,0.38351098,0.306558,0.42028084,0.35394293,0.3642044,0.30740327,0.2770098,0.26764432,0.29108593,0.26256657,0.3732027,0.32637787,0.38909668,0.32174426,0.4019164,0.3311547,0.40424794,0.30386385,0.41048193,0.31449863,1.0344892,6.883916,5
50+Gerber Baby Formula_Soy Baby Formula Commercial - 1992.mp3,30.05,0.13327266,0.013145363,0.18555932,0.0056924654185979,0.0078350901873247,782.4721419974237,610.0051534665955,1621.5149387092624,479.2241063979303,182.12511217748076,373.20161165297264,-320.38522,57.023327,180.3034,30.919601,0.15130128,25.478401,46.63371,20.269676,6.736826,18.796808,18.106028,11.385289,8.471829,10.698731,7.777285,12.249447,11.610264,10.055298,-0.10447875,8.261698,7.7404976,9.572336,-0.46381387,8.818768,2.0603192,7.593444,0.5472066,0.3087248,0.5166604,0.28380322,0.5355635,0.2981833,0.548,0.31324667,0.5312145,0.31292164,0.52329546,0.31478536,0.527338,0.3035204,0.55311954,0.332906,0.52954614,0.31172192,0.52825564,0.32154673,0.52223104,0.29604274,0.5271841,0.29245943,1.5238824,9.203037,50
51+Gerber Good Start - Gentle Formula with Comfort Proteins Advantage.mp3,30.79,0.03967556,0.021577705,0.10738442,0.066703672728986,0.0743201712564657,2705.6945512664524,1683.8120986582203,2978.849499474185,775.8832598006678,273.4853747457257,495.5098583669521,-326.48666,85.262856,130.57657,43.48181,-22.558996,25.740065,23.933657,28.082779,-10.4526205,22.6625,19.051872,19.644472,-25.763378,16.88049,4.488452,11.723057,-17.603085,13.513795,-10.377619,10.4337225,-7.4229646,12.393488,-10.671564,11.988372,-9.461382,9.941684,0.34147227,0.34546313,0.30033228,0.3024069,0.30486885,0.3207773,0.26279503,0.29326156,0.22830673,0.2550165,0.2927851,0.32639083,0.2812496,0.3018168,0.26616016,0.30737618,0.2857304,0.29882783,0.36960733,0.334604,0.43402398,0.36480856,0.33604443,0.29215416,0.36823612,3.0058236,51
52+GERBER GOOD START Infant Formula commercial - Welcome to the Gerber Generation.mp3,16.97,0.04941825,0.03151246,0.11813451,0.0522287267014363,0.0599573882552706,2611.703984978454,1762.319551454862,3136.022858651748,1402.5558256853951,485.2061708829864,707.893072844806,-339.32095,137.666,110.82364,55.31072,-5.6487474,25.18706,35.28466,27.934671,-4.3330817,19.203775,34.65238,21.899746,-2.2492964,16.1522,22.169445,16.275549,-11.033149,13.928279,3.5670676,10.727496,-3.706164,11.765158,4.42599,13.203353,-1.6216708,9.825822,0.2391167,0.24526392,0.31196058,0.29407763,0.4045991,0.36529958,0.36298358,0.30427295,0.351375,0.32890856,0.32352677,0.30885297,0.39640343,0.36881822,0.3736169,0.3469519,0.36657757,0.3511154,0.39004612,0.36199743,0.2986199,0.2835802,0.23452346,0.23152235,0.61556596,4.609282,52
53+Gerber® Good Start® Soothe.mp3,31.14,0.049653556,0.035615932,0.1538244,0.0857420419073798,0.1037059574820938,2866.5461826971778,2189.667185817228,2783.541590518473,920.2489708488232,366.44523470834827,612.9766348103967,-331.07678,87.670044,123.105675,59.707226,-13.555008,27.544542,24.77351,30.052814,-12.037412,24.482533,18.732084,21.070808,-14.334284,17.176826,-0.29081064,14.146395,-3.0761938,15.419734,-6.949823,12.514466,-5.252204,10.381038,-5.7951274,11.807501,-7.424867,9.19037,0.47512385,0.336426,0.46481064,0.31928602,0.46149394,0.32952112,0.43561286,0.33317629,0.4133084,0.31119743,0.3948903,0.31849596,0.33528835,0.27326256,0.3569824,0.3176219,0.35450828,0.30091628,0.35305473,0.3123834,0.38296703,0.3145548,0.42532426,0.31853577,0.6924898,6.601563,53
54+Growing-Up Formula-Enlac TV Ad.mp3,35.92,0.027916605,0.014954633,0.09483272,0.0682192348093083,0.0712634848440336,2965.1548682960006,1746.4747273630214,3290.421069046531,1019.6139898464083,341.2249930548294,569.768636876954,-324.20996,91.92926,130.08385,44.985382,-22.652023,23.525942,33.31122,17.85137,-2.5359824,18.062035,31.17787,18.75414,-9.821955,14.168665,18.95471,11.560687,-6.566391,10.126841,7.840275,9.570823,-4.654736,9.893577,4.1479435,9.030733,-0.28455642,8.020142,0.4347668,0.28474918,0.4692216,0.3026298,0.4371586,0.28373414,0.43408212,0.28823078,0.4905631,0.32514438,0.48017907,0.31873712,0.46541536,0.3136289,0.45057788,0.29120275,0.47730622,0.30268463,0.5405688,0.3488532,0.48086423,0.2992361,0.44769725,0.28544235,0.17386612,1.261002,54
