filename,duration,rms_mean,rms_std,rms_max,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,mel_spectrogram_mean,mel_spectrogram_std,VideoNumber,"GroupN(1=low(1-3),2=neutral(4-6),3=high(7-10))",PrefereneMean,PurchaseDesireMean,NarrativeInterityMean,EmpathyMean,TotalTime(S),ShotNumber,ShotMean,ad_id,id,std_x,std_y,combined_std,convex_hull_area,convex_hull_area_shapely,mean_euclidean_distance,intercept,preference,purchase
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2qFdJq0jnOo6gpt,0.04905867179870901,0.132776441459906,0.141549767521566,0.06703438464506101,0.06703438464506101,0.11413971916907201,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_5iNTkLqxP6ZbD7H,0.071654565349624,0.10492324245064301,0.127056143266668,0.06368031442901201,0.06368031442901201,0.11232946556942801,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_x5FWpiRdYvqrumZ,0.06926456904207601,0.068578651096136,0.097471082433458,0.040370611496913004,0.040370611496913004,0.08449520201643901,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2WDsrmAlPtoO0HZ,0.08539453933628101,0.055002192622576,0.10157494052051701,0.051599874614197,0.051599874614197,0.08317062440981701,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2DTAqyIUDqXnKfP,0.069290294116961,0.08771997702891701,0.11178523707882301,0.053017698688271005,0.053017698688271005,0.097590611872476,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_1Ic2grCw4d162ym,0.05520627418728401,0.09304045537305,0.108186223918141,0.040562307098765,0.040562307098765,0.09443715865339,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_ysdra57Iv3uoFm9,0.10684256820172001,0.14313621442062902,0.17861497769954102,0.13355999228395002,0.13355999228395002,0.15335294697485402,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_pcjQCK9dAmqufrX,0.055027648497756,0.10485523094848401,0.11841731949530201,0.06362485532407401,0.06362485532407401,0.09992365528195901,1,2,2
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2V3B9AvjeLjviju,0.11340569707701101,0.12095435789588802,0.16580352476207902,0.13016734182098702,0.13016734182098702,0.142749667787193,1,2,2
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_2cjymW7g7GFnOaL,0.084049507368952,0.083634553805777,0.11857089979946601,0.08223500192901201,0.08223500192901201,0.101961507535336,1,2,2
