ad_id,inner_brightness_mean,inner_brightness_std,inner_sharpness_mean,inner_sharpness_std,objects_count_yolo_mean,objects_count_yolo_std,face_count_yolo_mean,face_count_yolo_std,region_size_avg_mean,region_size_avg_std,region_count_mean,region_count_std,rule_of_thirds_mean,rule_of_thirds_std,im_num_mean,im_num_std,color_brightness_mean,color_brightness_std,color_hue_mean,color_hue_std,color_saturation_mean,color_saturation_std,color_brightness_contrast_mean,color_brightness_contrast_std,color_color_diversity_mean,color_color_diversity_std,color_clarity_mean,color_clarity_std,color_black_mean,color_black_std,color_blue_mean,color_blue_std,color_brown_mean,color_brown_std,color_gray_mean,color_gray_std,color_green_mean,color_green_std,color_orange_mean,color_orange_std,color_pink_mean,color_pink_std,color_purple_mean,color_purple_std,color_red_mean,color_red_std,color_white_mean,color_white_std,color_yellow_mean,color_yellow_std,texture_c1_contrast_mean,texture_c1_contrast_std,texture_c1_correlation_mean,texture_c1_correlation_std,texture_c1_energy_mean,texture_c1_energy_std,texture_c1_homogeneity_mean,texture_c1_homogeneity_std,texture_c1_dissimilarity_mean,texture_c1_dissimilarity_std,texture_c2_contrast_mean,texture_c2_contrast_std,texture_c2_correlation_mean,texture_c2_correlation_std,texture_c2_energy_mean,texture_c2_energy_std,texture_c2_homogeneity_mean,texture_c2_homogeneity_std,texture_c2_dissimilarity_mean,texture_c2_dissimilarity_std,texture_c3_contrast_mean,texture_c3_contrast_std,texture_c3_correlation_mean,texture_c3_correlation_std,texture_c3_energy_mean,texture_c3_energy_std,texture_c3_homogeneity_mean,texture_c3_homogeneity_std,texture_c3_dissimilarity_mean,texture_c3_dissimilarity_std,VideoNumber
1+90 Years Crafting.mp4,1.4843941176470588,0.11895606053596132,43.93686470588235,49.623875709631214,1.8235294117647058,1.9759584420492964,0.8235294117647058,0.6359337738364604,0.08260588235294118,0.0698978493105138,10.411764705882353,4.664477777970057,0.8960058823529412,0.09436940361279864,8.352941176470589,5.600682731491182,112.65704117647059,18.881410715769455,37.12694117647059,7.831491193177934,52.894705882352945,33.11359102052114,81.62515882352942,6.978682482394047,414720.5876470588,0.17743059951728668,59.644247058823524,6.637965836112529,0.3398235294117647,0.0754960556040162,0.03776470588235294,0.04449091116700791,0.12435294117647061,0.1045651359060888,0.23600000000000002,0.10807173543531165,0.07129411764705884,0.10266070615496123,5.882352941176471e-05,0.000242535625036333,0.016411764705882355,0.018401966007499753,0.00041176470588235296,0.0010036697371030325,0.00029411764705882356,0.0005878675320972554,0.13211764705882353,0.07450577356230621,0.04141176470588235,0.08729336946722342,216.76664117647059,90.89744729621162,0.9355882352941177,0.031880163941566765,0.2881470588235294,0.048775827999725664,0.7888411764705883,0.03612789882527646,2.5054,0.7583580725818112,162.2064411764706,100.4083060228464,0.9675882352941177,0.020887253360391267,0.2807823529411765,0.06724172100799955,0.6342882352941177,0.07962859004742692,2.9377999999999997,1.3015814409786273,41.40987058823529,38.52679720199249,0.9970882352941177,0.0023148656421435035,0.23446470588235296,0.019318868405540427,0.5826529411764706,0.051157283421413485,2.524117647058824,0.901939564380074,1.0
10+Aptamil Advert 2021.mp4,1.3928794871794872,0.20150249728044672,50.400984615384615,69.51197851526832,1.564102564102564,1.0461677382581627,1.2564102564102564,0.7510676161988108,0.09192307692307693,0.046914185160042685,6.6923076923076925,2.535576817525127,0.8666589743589744,0.1392331057841087,19.0,11.40175425099138,122.54266153846154,21.9574760595232,44.75051282051282,17.85077427905225,51.8925641025641,12.777679148431314,81.23141794871796,10.429553234890086,414720.53615384613,0.19258102034133728,58.704315384615384,5.576912456044891,0.2733846153846154,0.029388160330502757,0.17515384615384616,0.15546797579558214,0.20574358974358978,0.15967379871882847,0.1336923076923077,0.07252119611975298,0.040435897435897435,0.06114512282990314,0.0003846153846153846,0.0009065662403697469,0.03766666666666667,0.03887180911482831,0.0031794871794871794,0.0032756822902925992,0.006897435897435898,0.010325734004226813,0.10535897435897436,0.09615680373319163,0.018025641025641026,0.035993045512100905,178.09300512820514,97.55017055266308,0.9560333333333333,0.01877769299956636,0.2619717948717949,0.017067373440788756,0.8143717948717949,0.03681224730924229,1.873374358974359,0.6677716851857096,231.09006666666667,31.048584043689814,0.948720512820513,0.021319575628826432,0.23137948717948717,0.004826799063953112,0.6471307692307693,0.06272747720705125,3.0088692307692306,0.808857419337805,109.6346435897436,38.45330888029763,0.9917205128205129,0.0025253639119915245,0.22730512820512822,0.004294240250060094,0.623648717948718,0.06149875853173517,3.22825641025641,0.9721891222214543,10.0
100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp4,1.5794621621621623,0.4927534863141133,75.84808108108108,138.29591774673898,0.8513513513513513,0.8223326732813759,0.5,0.6463808623235082,0.17166621621621622,0.10836315816964989,5.851351351351352,2.5356765730432462,0.8768067567567568,0.15415170994753263,37.5,21.50581316760657,112.03682432432433,26.175972887603454,45.161567567567566,19.091820984986466,50.65323108108108,22.908965772593117,84.53205135135136,15.41092952298006,414720.63013513514,0.2006666508898271,65.70576081081082,7.5952976381806625,0.34306756756756757,0.13146730736700665,0.04231081081081081,0.06273010805719872,0.1967837837837838,0.1784221767552722,0.15655405405405406,0.12652793745233595,0.007864864864864865,0.0117838109568348,0.011202702702702702,0.019609879904160788,0.05667567567567568,0.037575169631352025,0.02222972972972973,0.027040582032165687,0.008459459459459459,0.01651747865364676,0.13829729729729728,0.12895987798374206,0.016297297297297297,0.03170399470518767,299.43138513513514,113.89687187620224,0.9436851351351352,0.036088694706208596,0.3242891891891892,0.14169554238168694,0.8361621621621622,0.06613612094681055,2.5578770270270272,0.8942383964799239,187.86399189189189,50.2767209107039,0.9497162162162162,0.08944089197950571,0.29754729729729734,0.1494215084396358,0.7043554054054054,0.0927212321326111,2.353187837837838,0.520763047884387,30.087282432432435,39.75097613744285,0.9983581081081081,0.0013702321327942243,0.28630405405405407,0.1481666651722681,0.6896364864864866,0.09224527396191115,1.517272972972973,0.41337319511261944,100.0
101+Welcome To Kendamil.mp4,1.2842875,0.1168938203001295,33.42706,43.54963793839193,1.125,2.0404562084155438,0.625,1.0786387432600122,0.08412,0.07496984077374733,10.5,4.85164524037584,0.851695,0.10330218542131869,19.5,11.69045194450012,137.7634075,32.014192064565144,46.943325,15.747333018621243,43.9576725,17.54803035792216,90.6883575,13.25115697392626,414720.55025,0.19905530092065082,64.47004,4.457992762921045,0.28525,0.0578201233712508,0.0912,0.07291871132664414,0.097725,0.10328724882206307,0.10055,0.08957963081197788,0.08180000000000001,0.11053673249544348,0.0016,0.003256551581831341,0.01205,0.017395770190273857,0.011075,0.013214963352588474,0.0016,0.005642330851332402,0.26805,0.208945821710453,0.04915,0.09104536767106261,280.3568625,170.461327732421,0.9440649999999999,0.03253657153388306,0.3353425,0.1413756768103684,0.8080225000000001,0.049986934126162744,2.8768425,1.5245859587387434,168.6309125,151.92659032315606,0.9510775,0.09518504915864323,0.31874250000000004,0.1482292989611461,0.6550450000000001,0.09275183307332278,3.1818999999999997,1.3214649025675818,134.9488425,229.95182097257796,0.9927225,0.009694975899521785,0.2890325,0.10425601227820795,0.6455875000000001,0.11351397561646942,3.2719500000000004,1.744289911947861,101.0
102+Welcome to the Kendamil family!.mp4,1.30504,0.1279264760137874,63.916788,98.97750211329854,1.58,3.0778338526453624,0.46,1.0538558938004565,0.076532,0.06059605779593391,10.52,4.616916543251235,0.7948860000000001,0.12546096882281432,27.42,14.713717048650729,142.690746,31.33020075365249,45.428760000000004,14.081211926854149,42.871748,21.97194688976442,89.54861999999999,11.434408007074305,414720.5376,0.19320666741273462,63.712137999999996,5.9697631884762155,0.26396000000000003,0.04408663085798413,0.10508,0.13041141179563473,0.07054,0.08349342146882847,0.11226000000000001,0.13788398110331004,0.07832,0.1342537104720395,0.00342,0.005455160447704914,0.03214,0.04390807187192584,0.01,0.0163557391786991,0.01302,0.05485918522983761,0.258,0.23006254695235398,0.053399999999999996,0.08780358413957315,312.57766,175.28448575703138,0.9413340000000001,0.028179849581730903,0.355596,0.13553728602137793,0.80925,0.04502395847473538,3.013256,1.2967911085633568,152.506586,110.02753785239405,0.9571560000000001,0.07362510984711669,0.33779600000000004,0.14518599465822438,0.6624940000000001,0.10234597069922843,2.892932,1.2492311036728445,107.18865,166.88315292040477,0.9936500000000001,0.007457560196313056,0.280196,0.09392370538183141,0.6392700000000001,0.11305421175665398,3.049412,1.484278355356431,102.0
104+What Now_.mp4,1.2665225806451612,0.0731656144632501,191.8536,475.9711484490665,2.3548387096774195,2.184008350056904,0.8064516129032258,0.7032948570222725,0.08084516129032258,0.05483474469537039,9.387096774193548,3.094914316044293,0.8430580645161291,0.15377970341626912,15.0,9.092121131323903,129.96080967741935,27.051878873482526,44.656129032258065,18.382658563153,34.83025806451613,14.346445170953762,82.64294193548388,10.3355741365691,414720.5306451613,0.18527341028541092,61.1721129032258,5.04861472470366,0.2840322580645161,0.06325634823002234,0.043064516129032254,0.03327955877499076,0.14296774193548387,0.12426811977091247,0.21919354838709676,0.11647815799677887,0.010193548387096775,0.010110784192595909,0.007741935483870969,0.005819322652081792,0.0487741935483871,0.04787324212781036,0.006193548387096774,0.005387759923126431,0.0033225806451612906,0.0031873405505132703,0.23058064516129034,0.20945704001752538,0.0040967741935483875,0.006193301966424036,397.1907677419355,154.01823076769057,0.9234290322580645,0.02930945460141238,0.3701548387096774,0.1430704624505228,0.814483870967742,0.069049451345994,3.6325709677419358,1.3505759080712068,205.78187096774195,87.04461900517533,0.9584354838709678,0.012940209900077503,0.3368967741935484,0.14859415754300026,0.6919967741935484,0.12887179025132164,3.313448387096774,1.1790123637663763,106.05841612903225,78.51389070912694,0.9928967741935485,0.004107268668346205,0.25046129032258063,0.09209243789953424,0.6418903225806453,0.11776001119462899,3.0941870967741933,1.27379634655412,104.0
105+Why KABRITA Goat Milk Toddler Formula.mp4,1.2574851851851852,0.05913909746523743,97.43217777777778,71.39693501927923,0.1111111111111111,0.32025630761017426,0.0,0.0,0.1849777777777778,0.098541156311358,6.185185185185185,3.1260325929330572,0.8459592592592593,0.16159232954772626,13.0,7.937253933193772,185.98032962962964,7.407754462921561,17.523074074074074,9.147804116188112,19.367777777777775,22.041790090003914,105.22041851851853,2.2935791225869955,414720.65592592594,0.1889497137108784,61.82072592592593,9.744876800602324,0.23111111111111113,0.00032025630761017186,0.04262962962962963,0.02770885466381869,0.0015925925925925925,0.003284687776512981,0.0035555555555555557,0.00442313266408578,0.019333333333333334,0.018912755158683455,0.004703703703703704,0.009172764094840833,0.013185185185185185,0.01748414014743524,0.0015555555555555557,0.004774397532136572,0.0008888888888888889,0.0017614096918559586,0.6416666666666666,0.11962987792482152,0.039481481481481485,0.08590530133653451,240.63508888888887,134.65324553844943,0.9126222222222223,0.0277280382025866,0.7589962962962964,0.15433977871387303,0.8843666666666666,0.06051809646708988,2.760211111111111,1.5285645232684397,258.78645185185184,166.85016955491804,0.9231777777777779,0.05160232056002411,0.7574555555555555,0.15740269358787332,0.8597814814814816,0.07412285040098608,2.916640740740741,1.6501512311252098,184.21665185185182,110.85032781932503,0.9916629629629631,0.004966049981791595,0.5633111111111111,0.1282380998627563,0.8809111111111112,0.06327549855946395,2.498262962962963,1.3468889978100098,105.0
106+WHY MOMS LOVE SIMILAC庐 GAIN PLUS.mp4,1.3138,0.09751935876190587,50.45637096774194,88.28853664497332,2.4516129032258065,1.9636481300107267,0.9032258064516129,0.7463171224833502,0.07388064516129032,0.04882277077590496,13.225806451612904,4.869700041545029,0.7256612903225806,0.1297578402959897,15.0,9.092121131323903,146.61337741935483,15.445408752025306,47.152580645161294,20.48001177046243,30.61428064516129,13.489863406954115,87.69257419354838,5.625666157174499,414720.4335483871,0.19238067103471637,63.53360322580645,3.4329463686930173,0.2438064516129032,0.016466975749134413,0.10929032258064515,0.06400687127092274,0.04345161290322581,0.04721499670632727,0.20600000000000002,0.13298370827536232,0.004580645161290322,0.005051562092055533,0.0014838709677419354,0.0013384311149485302,0.03880645161290323,0.03718639478343185,0.02167741935483871,0.01967635992212346,0.004967741935483871,0.00835257992466097,0.31435483870967745,0.24090780371850373,0.011483870967741937,0.0087896566779442,393.1556580645161,81.475496483089,0.9319387096774193,0.023764015898263113,0.3968258064516129,0.2451059090376266,0.8162451612903225,0.06428598000969149,3.379141935483871,0.5186117370918849,182.92362258064517,91.16717346323624,0.9575322580645163,0.018423054164040834,0.37486451612903227,0.2560556769511755,0.7284354838709678,0.11096612560713323,2.7761967741935485,0.7507452863583276,95.58956451612903,53.221738179247446,0.9939322580645161,0.0030134572721681086,0.2333709677419355,0.014642431345200988,0.6743258064516129,0.12065438234268418,2.582067741935484,0.645965420326866,106.0
107+Why Organic.mp4,1.7409743697478992,0.33910613969916364,42.13656176470589,145.59097136592644,2.008403361344538,2.1912591926267773,1.084033613445378,1.0797705017354902,0.12465882352941177,0.08004955997766955,8.34873949579832,3.933012191986615,0.8431008403361345,0.14543041806025697,118.5,68.84886830345629,77.0836655462185,20.190934694773215,39.043495798319334,16.83584268510798,53.51177857142857,24.41703673534339,78.42511974789917,15.213499074903773,414720.58945378155,0.19968571288482292,63.41313613445378,9.24428627012868,0.4987436974789916,0.0781026957169475,0.08918907563025211,0.13447510854006944,0.11724789915966387,0.11351927611828827,0.11252100840336135,0.10166448904684494,0.058394957983193274,0.1214788077565979,0.007168067226890756,0.02068461966687795,0.01704621848739496,0.02134531160259736,0.011117647058823529,0.015734976208969867,0.02451260504201681,0.04994289828782118,0.05507563025210084,0.07250359044377208,0.008903361344537815,0.018789841194475406,283.396106302521,188.19463591515162,0.9408029411764706,0.034697060755462444,0.43448319327731094,0.05266965085706874,0.8460210084033614,0.046690650631178825,2.445013025210084,1.2241989783897012,331.7254634453782,140.65229013667158,0.9545415966386555,0.018753393863677893,0.4139911764705883,0.052928064049338905,0.6845432773109243,0.09432920100035738,3.840366806722689,2.057614247498688,62.74216596638656,53.7159801760808,0.993309243697479,0.008877539967879032,0.404277731092437,0.053103049725877254,0.6826096638655463,0.07936662106406595,2.3353155462184874,1.2273910838485353,107.0
108+Why Similac® formulas with 2’-FL HMO are palm olein oil-free.mp4,1.2752666666666668,0.21283804911602427,117.46410000000002,143.8556012984675,1.0833333333333333,0.6685579234215215,1.0,0.6030226891555273,0.06188333333333334,0.015063733289130578,7.666666666666667,2.309401076758503,0.7599083333333333,0.1325582922088744,5.5,3.605551275463989,139.13245,11.326501518402045,66.42533333333334,12.502793646609422,33.608325,14.39014283757051,89.24755,1.3968492568504427,414720.6783333334,0.12066733636052766,68.74510833333333,5.778333018575566,0.27808333333333335,0.031938743452636545,0.04608333333333334,0.040884445438184425,0.07775,0.060282855997976136,0.0775,0.02788776206021689,0.0008333333333333334,0.0019462473604038076,0.002916666666666667,0.00630235646164964,0.12983333333333333,0.032699272533841243,0.062,0.04126191288034832,0.006833333333333334,0.004302923600896432,0.3129166666666667,0.0722312678872942,0.005416666666666667,0.012652404251103162,657.8048833333334,120.6309057713715,0.93565,0.01111800341788041,0.290325,0.02562385695898543,0.8046500000000001,0.025128379465167543,4.824191666666667,0.5765687051361911,115.597775,33.6736074908991,0.9688416666666667,0.008676452808223727,0.2538916666666667,0.02511437322379841,0.7082833333333335,0.04122706157441499,2.1298333333333335,0.4513891736191798,65.59349999999999,19.759605460406064,0.995875,0.0012447161049083406,0.228025,0.0033191250216120126,0.6327916666666668,0.04646943195328093,2.4732416666666666,0.22576657477996775,108.0
